Airport,CancellationCode,NumCancellations
ABE,A,3
ABI,C,2
ABQ,B,12
ABY,B,1
ACK,C,7
ACT,C,3
ACV,B,6
ACY,B,2
ADQ,B,1
AEX,B,1
AGS,B,2
ALB,C,8
ALO,A,1
AMA,B,2
ANC,B,4
ASE,B,1
ATL,C,69
ATW,C,3
AUS,A,28
AVL,B,9
AVP,C,4
AZO,C,6
BDL,C,12
BFL,B,4
BGR,C,22
BHM,C,15
BIS,C,1
BMI,C,5
BNA,C,69
BOI,A,4
BOS,C,226
BPT,C,1
BQN,C,1
BRO,A,7
BRW,B,2
BTR,A,10
BTV,C,28
BUF,C,64
BUR,A,30
BWI,B,155
BZN,A,2
CAE,C,4
CAK,C,10
CGI,C,1
CHA,C,6
CHO,C,16
CHS,C,33
CID,C,7
CKB,B,1
CLE,C,102
CLL,C,2
CLT,B,145
CMH,C,81
CMI,C,9
CMX,B,1
COS,A,10
COU,A,1
CPR,B,1
CRP,C,5
CRW,C,3
CVG,C,89
CWA,C,8
DAB,A,1
DAL,A,47
DAY,C,32
DBQ,C,4
DCA,C,275
DEN,A,87
DFW,A,192
DLG,B,3
DLH,C,2
DRO,B,2
DSM,C,14
DTW,C,74
DVL,B,1
EAU,C,2
ECP,A,3
EGE,C,1
ELP,A,12
EUG,C,1
EVV,A,4
EWN,B,1
EWR,C,495
EYW,B,2
FAI,A,4
FAR,C,1
FAT,A,4
FAY,B,3
FCA,B,2
FLL,C,31
FNT,C,4
FSD,C,8
FSM,C,1
FWA,B,8
GCC,A,1
GEG,A,4
GJT,A,1
GNV,A,2
GPT,A,4
GRB,B,7
GRK,A,2
GRR,C,34
GSO,C,37
GSP,C,16
GST,B,1
GTF,C,2
HHH,A,1
HNL,A,5
HOU,A,50
HPN,A,7
HRL,A,1
HSV,A,8
HTS,A,2
HVN,C,4
HYA,C,1
HYS,B,3
IAD,C,52
IAH,A,40
ICT,C,4
ILM,C,13
IND,C,80
ISP,B,3
JAC,B,3
JAN,A,6
JAX,C,48
JFK,C,479
JLN,A,1
JMS,B,3
JNU,A,1
KOA,A,1
KTN,A,1
LAN,C,3
LAR,A,1
LAS,A,84
LAW,A,3
LAX,A,126
LBB,B,4
LBE,B,2
LCH,C,1
LCK,A,1
LEX,C,6
LFT,B,2
LGA,C,881
LGB,A,8
LIH,A,3
LIT,A,6
LRD,C,2
LSE,C,7
LWB,B,1
LYH,B,2
MAF,B,6
MBS,B,2
MCI,C,40
MCO,A,58
MDT,B,11
MDW,B,77
MEM,C,29
MFE,A,8
MFR,C,33
MGM,A,2
MHK,C,3
MHT,C,15
MIA,A,34
MKE,C,39
MKG,C,2
MLB,A,1
MLI,C,5
MLU,B,1
MOB,C,5
MRY,B,9
MSN,C,30
MSO,A,1
MSP,B,38
MSY,C,26
MTJ,B,1
MVY,C,4
MYR,B,14
OAJ,B,2
OAK,A,51
OGG,B,20
OKC,B,17
OMA,C,24
ONT,A,13
ORD,C,378
ORF,C,66
ORH,A,3
OTZ,A,1
PAH,C,2
PBI,C,14
PDX,A,27
PGV,B,3
PHF,A,1
PHL,C,164
PHX,A,99
PIA,C,5
PIT,C,98
PNS,A,4
PSC,B,2
PSE,A,2
PSG,A,1
PSP,A,3
PVD,C,13
PWM,C,61
RDD,B,5
RDM,C,7
RDU,C,121
RIC,C,63
RNO,B,6
ROA,C,4
ROC,C,48
ROW,A,5
RST,C,5
RSW,A,10
SAF,A,7
SAN,A,39
SAT,A,24
SAV,C,25
SBA,B,7
SBN,C,6
SBP,B,5
SCC,B,1
SCE,C,1
SDF,C,27
SEA,C,38
SFO,C,151
SGF,C,6
SHD,B,2
SHV,A,3
SIT,B,2
SJC,A,37
SJT,C,2
SJU,A,18
SLC,A,14
SLN,B,1
SMF,A,25
SNA,A,15
SPI,B,2
SRQ,C,2
STL,C,70
STS,B,5
SUX,C,2
SWF,A,3
SYR,C,42
TLH,B,4
TOL,B,3
TPA,B,29
TRI,A,1
TTN,A,9
TUL,A,7
TUS,A,6
TVC,C,13
TWF,A,1
TYR,A,1
TYS,C,17
UIN,B,4
VPS,B,4
WRG,A,1
XNA,C,12
