FlightDate,NumFlights,AvgPrev3Days
2018-08-01,21444,NULL
2018-08-02,21685,21444.0000
2018-08-03,21736,21564.5000
2018-08-04,18364,21621.6667
2018-08-05,20939,20595.0000
2018-08-06,21663,20346.3333
2018-08-07,20992,20322.0000
2018-08-08,21140,21198.0000
2018-08-09,21457,21265.0000
2018-08-10,21520,21196.3333
2018-08-11,17782,21372.3333
2018-08-12,20659,20253.0000
2018-08-13,21388,19987.0000
2018-08-14,20892,19943.0000
2018-08-15,20989,20979.6667
2018-08-16,21324,21089.6667
2018-08-17,21350,21068.3333
2018-08-18,17517,21221.0000
2018-08-19,20480,20063.6667
2018-08-20,21239,19782.3333
2018-08-21,20302,19745.3333
2018-08-22,20551,20673.6667
2018-08-23,21076,20697.3333
2018-08-24,21096,20643.0000
2018-08-25,16497,20907.6667
2018-08-26,19964,19556.3333
2018-08-27,20873,19185.6667
2018-08-28,20060,19111.3333
2018-08-29,20352,20299.0000
2018-08-30,20902,20428.3333
2018-08-31,20870,20438.0000
FlightDate,1,20708.0000
